Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,"Nordegg Borrow
Pit (East)",SE32-40-15-W5,RNTR,Campbell Lake,2N,45,20,4-Jun-24
Unnamed,Nordegg Borrow Pit (West),SW32-40-15-W5,RNTR,Campbell Lake,2N,45,20,4-Jun-24
Unnamed,Open Creek Reservoir,NE25-42-6-W5,RNTR,Campbell Lake,2N,20,2400,2-May-24
Unnamed,Open Creek Reservoir,NE25-42-6-W5,RNTR,Campbell Lake,2N,50.1,25,10-May-24
Unnamed,Open Creek Reservoir,NE25-42-6-W5,RNTR,Campbell Lake,2N,35.1,25,10-May-24
Unnamed,"Open Creek
Reservoir",NE25-42-6-W5,RNTR,Campbell Lake,3N,22,1000,4-Jun-24
Unnamed,St. Paul Fish Pond,SE9-58-9-W4,RNTR,Campbell Lake,2N,19.5,720,3-May-24
Unnamed,Texaco East Pond,NW15-88-8-W4,RNTR,Campbell Lake,2N,20.1,1080,10-May-24
Unnamed,Texaco Pond,SW20-88-8-W4,RNTR,Campbell Lake,2N,20.1,600,10-May-24
Unnamed,Vegreville Trout Pond,SW7-52-14-W4,RNTR,Campbell Lake,2N,20,4000,19-Apr-24
Unnamed,Winchell Lake,NW2-29-5-W5,RNTR,Campbell Lake,3N,20,3000,8-May-24
Forty Mile Coulee Reservoir,,SW14-8-11-W4,WALL,Lac Ste. Anne,2N,0.04,750000,29-May-24
Sherburne Lake,Sherburne Reservoir,NE24-9-14-W4,WALL,Lac Ste. Anne,2N,0.04,500000,29-May-24
Sylvan Lake,,NW23-39-2-W5,WALL,Lac Ste. Anne,2N,0.04,1468869,30-May-24
Sylvan Lake,,NW23-39-2-W5,WALL,Lac Ste. Anne,2N,0.04,2175257,31-May-24
Travers Reservoir,,SW33-14-21-W4,WALL,Lac Ste. Anne,2N,0.04,1990842,25-May-24
Travers Reservoir,,SW33-14-21-W4,WALL,Lac Ste. Anne,2N,0.04,509158,27-May-24
Unnamed,Twin Valley Reservoir,NE7-15-25-W4,WALL,Lac Ste. Anne,2N,0.04,1825000,27-May-24
Crane Lake,Moore Lake,NE3-64-4-W4,WALL,Marie Creek,2N,0.04,282720,30-May-24
Crane Lake,Moore Lake,NE3-64-4-W4,WALL,Marie Creek,2N,0.04,60370,2-Jun-24
Skeleton Lake,,NW7-65-18-W4,WALL,Marie Creek,2N,0.04,343091,2-Jun-24
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Pit Lakes,2N,17.6,2000,23-Apr-24
Dillberry Lake,,NE36-41-1-W4,RNTR,Pit Lakes,2N,17.8,7000,24-Apr-24
Island Lake,,NW12-8-6-W5,RNTR,Pit Lakes,3N,19.1,1900,16-May-24
Unnamed,Allison Lake,SW27-8-5-W5,RNTR,Pit Lakes,3N,19.7,3740,17-May-24
Unnamed,Bathing Lake,SE11-4-1-W5,RNTR,Pit Lakes,3N,18.6,775,9-May-24
Unnamed,Burmis Lake,SE14-7-3-W5,RNTR,Pit Lakes,3N,18.9,1000,10-May-24
Unnamed,Burn's Reservoir,NE23-6-30-W4,RNTR,Pit Lakes,3N,18.6,1000,9-May-24
Unnamed,Cummings Lake,SE10-82-3-W6,RNTR,Pit Lakes,3N,19.1,1600,16-May-24
Unnamed,East Pit Lake,SE23-53-4-W5,RNTR,Pit Lakes,2N,18.6,8120,3-May-24
Unnamed,Shemeluk Lake,SW25-60-17-W4,RNTR,Pit Lakes,2N,18.6,4200,2-May-24
Chatwin Lake,,NE4-61-6-W4,RNTR,Riverence,AF2N,8.4,10779,2-May-24
Chatwin Lake,,NE4-61-6-W4,RNTR,Riverence,AF2N,8,4221,2-May-24
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8,23199,3-May-24
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8.2,22088,3-May-24
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8.2,4713,3-May-24
Grande Cache Lake,,NE1-57-8-W6,RNTR,Riverence,AF2N,9.2,13500,9-May-24
Grande Cache Lake,,NE1-57-8-W6,RNTR,Riverence,AF2N,9.2,1500,9-May-24
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Riverence,AF3N,22.8,803,13-May-24
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Riverence,AF3N,23.1,1235,5-Jun-24
Jack Fish Lake,,NW20-53-9-W4,RNTR,Riverence,AF2N,8.5,5000,3-May-24
Mclean Pond,,NW20-22-5-W5,RNTR,Riverence,AF3N,23.2,1807,13-May-24
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,9.5,78018,29-May-24
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Riverence,AF3N,22.8,402,13-May-24
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Riverence,AF3N,23.1,800,5-Jun-24
Muir Lake,,NW32-53-27-W4,RNTR,Riverence,AF3N,22.8,1506,1-May-24
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,22.9,3500,22-Apr-24
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,23.2,500,31-May-24
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,23.2,500,31-May-24
Sibbald Meadows Pond,,SW20-24-7-W5,RNTR,Riverence,AF3N,23.2,1004,13-May-24
"Sibbald Meadows
Pond",,SW20-24-7-W5,RNTR,Riverence,AF3N,23.1,1322,5-Jun-24
Unnamed,"Black Nugget
Mine Pit",NW11-49-18-W4,RNTR,Riverence,AF2N,7.7,10000,18-Apr-24
Unnamed,"Brooks Aquaduct
Pond",NE15-18-14-W4,RNTR,Riverence,AF2N,7.4,10000,15-Apr-24
Unnamed,Dickson Trout Pond,NW13-35-3-W5,RNTR,Riverence,AF2N,10,17546,4-Jun-24
Unnamed,Dickson Trout Pond,NW13-35-3-W5,RNTR,Riverence,AF3N,9.5,4814,4-Jun-24
Unnamed,Fox Creek Trout Pond,NW13-63-20-W5,RNTR,Riverence,AF3N,23.2,251,27-May-24
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Riverence,AF2N,7.6,5000,17-Apr-24
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,RNTR,Riverence,AF3N,22.5,1000,10-Apr-24
Unnamed,Niton Lake,SE32-53-12-W5,RNTR,Riverence,AF3N,23,753,13-May-24
Unnamed,Nordegg Borrow Pit (East),SE32-40-15-W5,RNTR,Riverence,AF3N,23.1,151,7-May-24
