Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,"Average
Length (cm)",Number Stocked,Stocking Date
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,20.3,5323,30-05-2024
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,9.3,20000,02-10-2024
Ole Lake,,NW30-84-12-W6,RNTR,Trout Lodge/Jumpers,AF3N,20.1,1500,08-05-2024
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,22.9,3500,22-04-2024
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,3N,20.6,1500,22-04-2024
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,2N,45.1,40,16-05-2024
Parlby Reservoir,Tees Fish Pond,NE25-40-24-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,400,07-05-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,19.8,15000,11-04-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Silver's,AF3N,12.2,54000,29-04-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Silver's,AF3N,14.1,27644,23-05-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Silver's,AF3N,14.1,28358,23-05-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,5.5,14610,20-09-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,16.2,19905,23-09-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,16.3,20067,24-09-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,6.4,15981,04-10-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,13.6,25118,08-10-2024
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,14.5,22054,15-10-2024
Peanut Lake,,NE15-58-3-W5,BKTR,Beitty Resort,3N,19.6,2500,30-04-2024
Peanut Lake,,NE15-58-3-W5,RNTR,Campbell Lake,2N,17,5000,30-09-2024
Peanut Lake,,NE15-58-3-W5,RNTR,Campbell Lake,2N,20,9200,30-09-2024
Peppers Lake,,NW30-35-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,21,1400,29-05-2024
Peppers Lake,,NW30-35-12-W5,BKTR,Beitty Resort,3N,19.2,3500,29-05-2024
Petite Lake,,NW12-54-26-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,1000,27-05-2024
Phyllis Lake,,SE17-36-7-W5,RNTR,Campbell Lake,3N,20.3,5000,06-05-2024
Phyllis Lake,,SE17-36-7-W5,RNTR,Campbell Lake,3N,21.2,2300,25-09-2024
Phyllis Lake,,SE17-36-7-W5,RNTR,Campbell Lake,3N,19.5,4350,25-09-2024
Phyllis Lake,,SE17-36-7-W5,RNTR,Campbell Lake,3N,18,3350,25-09-2024
Phyllis Lake,,SE17-36-7-W5,RNTR,Campbell Lake,2N,65,50,05-10-2024
Pierre Greys Lakes,"Lower Pierre
Greys Lake",SE12-57-5-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.2,3500,09-05-2024
Pierre Greys Lakes,"Lower Pierre
Greys Lake",SE12-57-5-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,5.2,10000,17-09-2024
Pierre Greys Lakes,Middle Pierre Greys Lake,NW6-57-4-W6,RNTR,Trout Lodge/Jumpers,AF3N,20.4,7500,09-05-2024
Pierre Greys Lakes,"Middle Pierre
Greys Lake",NW6-57-4-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,5.2,10000,17-09-2024
Pierre Greys Lakes,"Upper Pierre
Greys Lake",SW7-57-4-W6,BKTR,Beitty Resort,3N,19.2,3500,09-05-2024
Pierre Greys Lakes,"Upper Pierre
Greys Lake",SW7-57-4-W6,BNTR,Bow River,3N,20.5,1000,09-05-2024
Pierre Greys Lakes,Upper Pierre Greys Lake,SW7-57-4-W6,BKTR,Beitty Resort,3N,21.1,2162,10-06-2024
Pierre Greys Lakes,"Upper Pierre
Greys Lake",SW7-57-4-W6,BKTR,Beitty Resort,3N,23,2000,17-09-2024
Rainbow Park Pond,"Westlock
Recreation Pond",NE31-59-25-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,1200,09-05-2024
Rat Lake,,SW11-38-9-W5,BKTR,Beitty Resort,3N,7.4,2500,31-05-2024
