Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,,Average,Number,Stocking Date
Two Lakes,South Two Lake,NE7-62-12-W6,CTTR,Allison Creek,2N,13.4,2000,2025-05-27
Two Lakes,South Two Lake,NE7-62-12-W6,CTTR,Allison Creek,2N,19.3,2500,2025-09-25
Crowsnest Lake,,NE8-8-5-W5,CTTR,Allison Creek,2N,12.3,7000,2025-04-25
Crowsnest Lake,,NE8-8-5-W5,CTTR,Allison Creek,2N,20,2600,2025-09-16
Unnamed,Daysland Pond,NE9-45-16-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,400,2025-04-25
Unnamed,Silkstone Lake,NE9-47-19-W5,RNTR,Trout/Lodge/Jumpers,AF3N,21.2,1300,2025-05-27
Unnamed,Dandurand Lake,NE9-53-19-W5,RNTR,Trout/Lodge/Jumpers,AF3N,21.2,1000,2025-05-28
Sandy Lake,,NE9-79-22-W4,WALL,Graham Lake,2N,0.4,3208231,2025-06-08
Unnamed,Taber Trout Pond,NW1-10-17-W4,RNTR,Trout/Lodge/Kamloops,AF3N,21,2500,2025-05-15
Unnamed,Taber Trout Pond,NW1-10-17-W4,RNTR,Trout/Lodge/Kamloops,AF3N,30,50,2025-05-15
Unnamed,Taber Trout Pond,NW1-10-17-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.6,2500,2025-06-04
Unnamed,Big Iron Lake,NW1-15-4-W5,TGTR,Beitty/Bow River,3N,21.2,750,2025-06-03
Shark Lake,,NW1-22-11-W5,CTTR,Allison Creek,2N,4.2,500,2025-09-09
Unnamed,Diplomat Mine,NW1-41-16-W4,RNTR,Riverence,AF2N,20,5000,2025-04-16
Unnamed,Diplomat Mine,NW1-41-16-W4,TGTR,Beitty/Bow River,3N,20,520,2025-04-16
Unnamed,Diplomat Mine,NW1-41-16-W4,TGTR,Beitty/Bow River,3N,18.6,980,2025-04-16
Unnamed,Genesee Trout,NW1-51-3-W5,RNTR,Riverence,AF3N,23.7,500,2025-05-05
Unnamed,Ardmore,NW1-62-4-W4,RNTR,Riverence,AF2N,22.8,400,2025-04-28
Unnamed,Ardmore,NW1-62-4-W4,RNTR,Campbell Lake,2N,23.8,200,2025-09-25
Unnamed,Lovett Lake,NW10-47-19-W5,RNTR,Trout/Lodge/Jumpers,AF3N,21.2,1000,2025-05-27
Unnamed,Mound Red,NW11-45-28-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,3000,2025-05-08
Unnamed,Mound Red,NW11-45-28-W4,RNTR,Trout/Lodge/Kamloops,AF3N,30,50,2025-05-08
Unnamed,Black Nugget,NW11-49-18-W4,TGTR,Beitty/Bow River,3N,19.8,5000,2025-04-23
Unnamed,Black Nugget,NW11-49-18-W4,RNTR,Campbell Lake,2N,20.4,6571,2025-04-28
Unnamed,Black Nugget,NW11-49-18-W4,RNTR,Campbell Lake,2N,20.4,5929,2025-04-28
Jane Lake,,NW11-68-8-W5,RNTR,Trout,AF3N,5.9,1800,2025-09-18
Unnamed,Severn Creek,NW12-26-22-W4,RNTR,Riverence,AF2N,20,4200,2025-04-17
Unnamed,Severn Creek,NW12-26-22-W4,RNTR,Riverence,AF2N,22.86,1400,2025-04-24
Petite Lake,,NW12-54-26-W5,RNTR,Trout,AF3N,17.7,2000,2025-05-23
Island Lake,,NW12-8-6-W5,CTTR,Allison Creek,2N,12.5,3500,2025-04-30
Unnamed,Dickson Trout,NW13-35-3-W5,RNTR,Riverence,AF3N,20,7462,2025-04-30
Unnamed,Dickson Trout,NW13-35-3-W5,RNTR,Riverence,AF3N,20,6538,2025-04-30
Unnamed,Dickson Trout,NW13-35-3-W5,TGTR,Beitty/Bow River,3N,20.3,1700,2025-04-30
Unnamed,Dickson Trout,NW13-35-3-W5,RNTR,Campbell Lake,3N,19.9,6010,2025-06-18
Unnamed,Dickson Trout,NW13-35-3-W5,RNTR,Campbell Lake,3N,20.4,5000,2025-10-01
Unnamed,Dickson Trout,NW13-35-3-W5,TGTR,Beitty/Bow River,3N,6.9,1311,2025-10-01
Unnamed,Dickson Trout,NW13-35-3-W5,TGTR,Beitty/Bow River,3N,28.4,1172,2025-10-03
Unnamed,Dickson Trout,NW13-35-3-W5,RNTR,Campbell Lake,3N,20.7,5410,2025-10-03
Unnamed,Dickson Trout,NW13-35-3-W5,RNTR,Campbell Lake,3N,25.7,2030,2025-10-03
Unnamed,Fox Creek Trout,NW13-63-20-W5,RNTR,Riverence,AF2N,23.6,500,2025-05-12
Unnamed,Tim Horton,NW14-24-8-W5,CTTR,Allison Creek,2N,13.2,300,2025-05-16
Unnamed,Tim Horton,NW14-24-8-W5,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,300,2025-05-16
Unnamed,County Sportplex,NW14-72-6-W6,RNTR,Riverence,AF2N,23.8,2000,2025-05-21
Margaret Lake,,NW15-28-9-W5,RNTR,Riverence,AF3N,12.6,3100,2025-06-03
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,19.8,1500,2025-05-15
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,19.8,1500,2025-05-16
Unnamed,Texaco East,NW15-88-8-W4,RNTR,Campbell Lake,2N,21,2700,2025-05-08
Fairfax Lake,,NW17-46-18-W5,RNTR,Trout,AF3N,19.6,10000,2025-06-10
Unnamed,Ashland,NW17-48-3-W5,RNTR,Riverence,AF2N,20.3,8000,2025-05-10
Unnamed,Vegreville,NW17-52-14-W4,RNTR,Trout/Lodge/Kamloops,AF3N,21,600,2025-05-13
