,,,,,,,,
Moonshine Lake,Mirage Lake,SE31-79-8-W6,TGTR,Beitty/Bow River,3N,30.9,2350,15-09-2025
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,13.2,800,16-05-2025
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.1,400,16-05-2025
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,37.8,100,25-06-2025
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,23,400,25-06-2025
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,15,800,25-06-2025
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,16.8,800,17-07-2025
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,25.2,400,17-07-2025
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,25.3,400,31-07-2025
Mount Lorette Ponds,,SW19-23-8-W5,CTTR,Allison Creek,2N,17.2,600,31-07-2025
Muir Lake,,NW32-53-27-W4,BNTR,Bow River,3N,18.9,500,01-05-2025
Muir Lake,,NW32-53-27-W4,RNTR,Riverence,AF3N,23.1,1500,01-05-2025
Muir Lake,,NW32-53-27-W4,RNTR,Riverence,AF3N,20,1500,01-05-2025
Muskiki Lake,,NW5-45-20-W5,CTTR,Allison Creek,2N,13.4,2500,26-05-2025
Muskiki Lake,,NW5-45-20-W5,CTTR,Allison Creek,2N,19.2,2000,17-09-2025
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,TGTR,Beitty/Bow River,3N,20.3,250,30-04-2025
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,23.1,500,17-09-2025
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,19.2,13062,22-05-2025
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,19.2,938,26-05-2025
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,9.1,5000,25-09-2025
Obstruction Lakes,,NE6-40-20-W5,CTTR,Allison Creek,2N,4.7,1068,25-09-2025
Ole Lake,,NW30-84-12-W6,RNTR,Campbell Lake,2N,20.6,3000,21-05-2025
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,23.1,2500,16-04-2025
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,20,2500,16-04-2025
Parker Lake,,SE25-70-5-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,5.9,7000,18-09-2025
Parlby Reservoir,Tees Fish Pond,NE25-40-24-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.4,400,06-05-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20,2487,14-04-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20,10913,15-04-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Riverence,AF3N,11.2,63037,15-04-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Kamloops,AF3N,15.9,32000,22-04-2025
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,15.7,25033,09-05-2025
