Site Names,,,,
Codes,English Names,Province Codes,Latitude,Longitude
s0000490,Minnedosa,MB,50.25N,99.84W
s0000600,Mirabel,QC,45.65N,74.08W
s0000036,Miramichi,NB,47.00N,65.47W
s0000243,Miscou Island,NB,47.95N,64.57W
s0000786,Mississauga,ON,43.59N,79.66W
s0000654,Moncton,NB,46.12N,64.80W
s0000783,Mont-Joli,QC,48.58N,68.18W
s0000246,Mont-Laurier,QC,46.55N,75.50W
s0000555,Mont-Saint-Hilaire,QC,45.57N,73.20W
s0000213,Mont-Tremblant,QC,46.12N,74.60W
s0000334,Montmagny,QC,46.98N,70.55W
s0000635,Montréal,QC,45.52N,73.65W
s0000762,Montreal River Harbour,ON,47.24N,84.65W
s0000822,Moose Jaw,SK,50.39N,105.55W
s0000733,Moosomin,SK,50.14N,101.67W
s0000596,Moosonee,ON,51.33N,80.72W
s0000444,Morden,MB,49.19N,98.10W
s0000150,Morris,MB,49.36N,97.37W
s0000072,Morrisburg,ON,44.90N,75.18W
s0000198,Mount Carleton (Provincial Park),NB,47.38N,66.83W
s0000240,Mount Forest,ON,43.98N,80.74W
s0000376,Muncho Lake,BC,58.93N,125.77W
s0000027,Murdochville,QC,48.97N,65.50W
s0000016,Musgrave Harbour,NL,49.45N,53.97W
s0000642,Muskoka,ON,44.91N,79.37W
s0000476,Nahanni Butte,NT,61.03N,123.39W
s0000162,Nain,NL,56.55N,61.69W
s0000259,Nakusp,BC,50.25N,117.80W
s0000496,Nanaimo,BC,49.17N,123.93W
s0000693,Nanisivik,NU,73.03N,84.55W
s0000610,Natashquan,QC,50.19N,61.82W
s0000713,Naujaat,NU,66.53N,86.25W
s0000258,Nelson,BC,49.50N,117.28W
s0000268,New Carlisle,QC,48.02N,65.33W
s0000089,New Glasgow,NS,45.59N,62.64W
s0000429,New Tecumseth,ON,44.08N,79.77W
s0000017,New-Wes-Valley,NL,49.17N,53.57W
s0000582,Newmarket,ON,44.06N,79.46W
s0000692,Niagara Falls,ON,43.06N,79.11W
s0000260,Nicolet,QC,46.22N,72.62W
s0000095,Nipawin,SK,53.36N,104.02W
s0000419,Nipigon,ON,48.98N,88.33W
s0000448,Nordegg,AB,52.47N,116.08W
s0000426,Norfolk,ON,42.80N,80.41W
s0000720,Norman Wells,NT,65.28N,126.83W
s0000666,North Battleford,SK,52.76N,108.29W
s0000765,North Bay,ON,46.31N,79.46W
s0000252,North Cape,PE,47.07N,64.00W
s0000264,North East Margaree,NS,46.33N,61.01W
s0000021,North Mountain (Cape Breton),NS,46.88N,60.58W
s0000238,North Perth,ON,43.73N,80.97W
s0000616,Norway House,MB,53.99N,97.82W
s0000273,Oak Point,MB,50.51N,98.03W
s0000367,Oakville,ON,43.46N,79.71W
s0000231,Ogoki,ON,51.63N,85.95W
s0000853,Okanagan Connector - Merritt to Kelowna,BC,49.90N,120.14W
s0000767,Okotoks,AB,50.73N,113.98W
s0000823,Old Crow,YT,67.57N,139.84W
s0000272,Onefour,AB,49.12N,110.47W
s0000815,Orangeville,ON,43.92N,80.11W
s0000414,Orillia,ON,44.60N,79.42W
s0000521,Oromocto,NB,45.84N,66.48W
s0000707,Oshawa,ON,43.90N,78.86W
s0000397,Osoyoos,BC,49.03N,119.45W
s0000430,Ottawa (Kanata - Orléans),ON,45.33N,75.58W
s0000623,Ottawa (Richmond - Metcalfe),ON,45.24N,75.47W
s0000556,Otterburn Park,QC,45.53N,73.22W
s0000387,Outlook,SK,51.49N,107.05W
s0000728,Owen Sound,ON,44.57N,80.93W
s0000514,Oxbow,SK,49.23N,102.17W
s0000011,Oxford House,MB,54.95N,95.27W
s0000075,Oxtongue Lake,ON,45.36N,78.92W
s0000750,Pangnirtung,NU,66.14N,65.72W
s0000612,Papineau,QC,45.88N,75.05W
s0000287,Parent,QC,47.92N,74.62W
s0000040,Parrsboro,NS,45.41N,64.33W
s0000451,Parry Sound,ON,45.35N,80.04W
s0000759,Paulatuk,NT,69.35N,124.07W
s0000625,Peace River,AB,56.24N,117.30W
s0000374,Peawanuck,ON,55.02N,85.42W
s0000067,Pelican Narrows,SK,55.19N,102.93W
s0000173,Pemberton,BC,50.32N,122.80W
s0000730,Pembroke,ON,45.82N,77.11W
s0000772,Penticton,BC,49.50N,119.58W
s0000314,Percé,QC,48.53N,64.22W
s0000729,Petawawa,ON,45.91N,77.27W
s0000629,Peterborough,ON,44.30N,78.33W
s0000710,Pickering,ON,43.91N,79.13W
s0000628,Pickle Lake,ON,51.47N,90.20W
s0000677,Pikangikum,ON,51.81N,93.99W
