Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,Legal Reservoir,NW24-57-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,19.9,1150,2023-05-12
Unnamed,Legal Reservoir,NW24-57-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.4,300,2023-05-24
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,TGTR,Beitty/Bow River,3N,20.6,650,2023-05-04
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.6,575,2023-05-04
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,RNTR,Trout Lodge/Jumpers,AF3N,25.3,1000,2023-09-12
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,RNTR,Trout Lodge/Kamloops,AF3N,32.1,100,2023-06-03
Unnamed,Len Thompson Pond,NW29-40-26-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1500,2023-05-17
Unnamed,Little Beaverdam Lake,SE34-1-28-W4,TGTR,Beitty/Bow River,3N,20.4,1000,2023-05-18
Unnamed,"Lloydminster
Pond",SE6-50-1-W4,RNTR,Campbell Lake,2N,20.1,200,2023-05-05
Unnamed,Lodgepole Pond,NE1-48-10-W5,RNTR,Trout Lodge/Jumpers,AF3N,20,100,2023-05-26
Unnamed,Lougheed Trout Pond,NE33-43-11-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,700,2023-05-19
Unnamed,Lovett Lake,NW10-47-19-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.3,502,2023-10-03
Unnamed,Machesis Lake,NW27-107-16-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.4,2008,2023-05-24
Unnamed,"Magrath
Childrens Pond",SW26-5-22-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.7,500,2023-04-24
Unnamed,Magrath Childrens Pond,SW26-5-22-W4,RNTR,Trout Lodge/Kamloops,AF3N,30,40,2023-04-24
Unnamed,Mayan Lake,NW5-57-23-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.3,948,2023-10-04
Unnamed,McClennan Reservoir,SW32-77-19-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.5,251,2023-05-23
Unnamed,McLaren's Reservoir,SW23-33-18-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,2811,2023-05-01
Unnamed,"McQuillan
Reservoir",SW13-8-19-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.6,2225,2023-04-21
Unnamed,McQuillan Reservoir,SW13-8-19-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.2,1575,2023-05-31
Unnamed,"McVinnie
Reservoir",SW33-12-21-W4,TGTR,Beitty/Bow River,3N,19.3,400,2023-04-21
Unnamed,"McVinnie
Reservoir",SW33-12-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.6,1155,2023-04-21
Unnamed,McVinnie Reservoir,SW33-12-21-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.2,2945,2023-05-29
Unnamed,"Md Peace Pond
#1",SW27-83-23-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.2,502,2023-05-24
Unnamed,"Md Peace Pond
#2",SW27-83-23-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.2,502,2023-05-24
Unnamed,Midway Reservoir,SE16-30-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2023-05-01
Unnamed,Mile 07 Lake,NE35-69-14-W4,RNTR,Campbell Lake,2N,20,1263,2023-05-12
Unnamed,Mile 07 Lake,NE35-69-14-W4,RNTR,Campbell Lake,2N,20.1,1131,2023-05-12
Unnamed,Mile 07 Lake,NE35-69-14-W4,RNTR,Pit Lake,2N,16,1860,2023-05-12
Unnamed,Mirror Reservoir,SW29-40-22-W4,BNTR,Bow River,3N,18.9,245,2023-05-03
Unnamed,Mitford Ponds,SE4-26-4-W5,BNTR,Bow River,3N,19.1,61,2023-05-03
Unnamed,Mitford Ponds,SE4-26-4-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.5,250,2023-05-03
Unnamed,Mitford Ponds,SE4-26-4-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.3,385,2023-06-13
Unnamed,"Morinville Fish
and Game Pond",NW4-56-25-W4,BNTR,Bow River,3N,18.8,100,2023-05-01
Unnamed,"Morinville Fish
and Game Pond",NW4-56-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.1,1425,2023-05-01
Unnamed,Morinville Fish and Game Pond,NW4-56-25-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.1,512,2023-09-19
Unnamed,"Mound Red
Reservoir",NW11-45-28-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,3100,2023-05-17
Unnamed,Mound Red Reservoir,NW11-45-28-W4,RNTR,Trout Lodge/Kamloops,AF3N,30,100,2023-05-17
Unnamed,Muskoseepi Pond,SE26-71-6-W6,RNTR,Trout Lodge/Jumpers,AF3N,19.9,251,2023-05-10
Unnamed,Nardam Lake,NE17-78-5-W6,BNTR,Bow River,3N,18.8,100,2023-05-01
Unnamed,Nardam Lake,NE17-78-5-W6,RNTR,Trout Lodge/Jumpers,AF3N,20,1425,2023-05-01
Unnamed,Nardam Lake,NE17-78-5-W6,RNTR,Trout Lodge/Jumpers,AF3N,19.9,251,2023-05-10
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,BKTR,Beitty Resort,2N,45,236,2023-04-17
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,BKTR,Beitty Resort,2N,45,235,2023-04-24
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,BNTR,Bow River,3N,18.2,1000,2023-04-18
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,RNTR,Campbell Lake,2N,20.1,798,2023-04-18
Unnamed,Nicholas Sheran Park Pond,SE26-8-22-W4,BKTR,Beitty Resort,3N,18.9,1000,2023-04-18
Unnamed,Niton Lake,SE32-53-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.7,753,2023-05-19
Unnamed,"Nordegg Borrow
Pit (East)",SE32-40-15-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.8,151,2023-05-16
Unnamed,"Nordegg Borrow
Pit (West)",SW32-40-15-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.3,201,2023-05-16
