name,other_name,district,lat,long,ats,waterbody_id
KRAFT WIMBORNE POND,,DRUMHELLER,51.859122,-113.620127,SE28-33-26-W4,6773
KRAMER POND,,WETASKIWIN,52.906846,-114.745933,SW25-45-6-W5,6774
LA CRETE POND,,FORT VERMILION,58.197347,-115.906655,SW15-106-12-W5,20267
LAC BELLEVUE,,ST. PAUL,53.810455,-111.336866,NW6-56-9-W4,4027
LAC DELORME,GEORGE'S LAKE,,53.896214,-111.1509,SE5-57-8-W4,
LAC LA BICHE TROUT POND,ALEXANDER HAMILTON POND,LAC LA BICHE,54.775532,-111.953265,NW5-67-13-W4,19760
LACOMBE PARK POND,,EDMONTON,53.637547,-113.653734,NW5-54-25-W4,6776
Lake Newell,,,,,NW13-17-15-W4,
Lake Of Falls,,,,,NE10-36-19-W5,
LAMBERT POND,,EDSON,53.566383,-116.481493,NW8-53-17-W5,3479
LAMONT POND,,VEGREVILLE,53.775627,-112.749283,SW27-55-19-W4,6655
LARA FISH POND,,BONNYVILLE,54.3089,-110.61054,NE25-61-5-W4,24053
LEDUC RESERVOIR,,WETASKIWIN,53.259984,-113.567083,NE27-49-25-W4,6764
LEES LAKE,,PINCHER CREEK,49.541912,-114.248586,SW8-7-2-W5,5050
LEGAL RESERVOIR,,STONY PLAIN,53.947431,-113.586428,NW24-57-25-W4,6765
LEN THOMPSON POND,,RED DEER,52.476805,-113.712706,NW29-40-26-W4,26322
LILY LAKE,,,55.483333,-114.766667,NW7-75-5-W5,
Little Beaverdam Lake,,,,,SE34-1-28-W4,
LITTLE BOW LAKE RESERVOIR,,VULCAN,50.194355,-112.675682,SE28-14-20-W4,3515
LITTLE FISH LAKE,,HANNA,51.369619,-112.199463,SW8-28-16-W4,5099
LLOYDMINSTER POND,,LLOYDMINSTER,53.27896,-110.139056,SE6-50-1-W4,6760
LODGEPOLE POND,,DRAYTON VALLEY,53.119469,-115.320171,NE1-48-10-W5,395186
LOUGHEED TROUT POND,,CAMROSE,52.750929,-111.539761,NE33-43-11-W4,6761
LOVETT LAKE,,EDSON,53.041523,-116.706,NW10-47-19-W5,6658
LOWER CHAIN LAKE,,ATHABASCA,54.964036,-113.511311,NW7-69-23-W4,6528
LOWER CHAMPION LAKE,,COCHRANE,50.813258,-114.597433,NW26-21-5-W5*,6608
Lower Kananaskis Lake,,,,,NW26-19-9-W5,
LOWER WILDHORSE LAKE,,HINTON,53.269491,-117.792759,SW31-49-26-W5,6537
MACHESIS LAKE,,HIGH LEVEL,58.324911,-116.585882,NW27-107-16-W5,6750
MAGRATH CHILDRENS POND,,CARDSTON,49.4103,-112.8647,SW26-5-22-W4,317719
MARGARET LAKE,,CANMORE,51.401845,-115.185439,NW15-28-9-W5,5223
MARIGOLD LAKE,,,54.671776,-115.628279,NW32-65-11-W5,
MARY GREGG LAKE,,HINTON,53.112602,-117.454064,NW4-48-24-W5,5245
MAYAN LAKE,,HINTON,53.902144,-117.38983,NW5-57-23-W5,19525
MCCLENNAN RESERVOIR,,VALLEYVIEW,55.709784,-116.919773,SW32-77-19-W5,6753
MCGREGOR LAKE,MCGREGOR RESERVOIR,VULCAN,50.475205,-112.86378,SW32-17-21-W4,5275
MCLAREN'S RESERVOIR,,DRUMHELLER,51.840076,-112.45129,SW23-33-18-W4,6755
MCLEAN POND,,COCHRANE,50.888074,-114.669068,NW20-22-5-W5,3522
MCLEOD LAKE,CARSON LAKE,WHITECOURT,54.298603,-115.652786,SE25-61-12-W5,5286
MCQUILLAN RESERVOIR,,LETHBRIDGE,49.64707,-112.45932,SW13-8-19-W4,6757
MCVINNIE RESERVOIR,,LETHBRIDGE,50.035398,-112.816726,SW33-12-21-W4,6758
MD PEACE POND #1,,PEACE RIVER,56.222511,-117.556197,SW27-83-23-W5,6721
MD PEACE POND #2,,PEACE RIVER,56.224205,-117.553092,SW27-83-23-W5*,22995
MEDLEY RIVER,,,54.604201,-110.186494,SE11-65-2-W4,
MICHEL RESERVOIR,MICHEL CREEK RESERVOIR,MEDICINE HAT,49.531283,-110.372274,NE5-7-3-W4,3523
MICHICHI RESERVOIR,,DRUMHELLER,51.582647,-112.52946,SW19-30-18-W4,3524
