OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
MEDLEY RIVER,,SE11-65-2-W4,54.604201,-110.186494,RNTR,Trout Lodge/Jumpers,AF3N,19.35,1500,30-May-20
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,BNTR,Bow River,3N,19.89,6570,07-May-20
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,BNTR,Bow River,3N,18.41,2430,07-May-20
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,RNTR,Trout Lodge/Jumpers,AF3N,19.3,25000,27-May-20
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,RNTR,Trout Lodge/Kamloops,AF2N,22.24,5000,29-Sep-20
MICHICHI RESERVOIR,,SW19-30-18-W4,51.582647,-112.52946,RNTR,Trout Lodge/Jumpers,AF2N,19.8,5600,04-May-20
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,RNTR,Trout Lodge/Jumpers,AF3N,19.38,9262,27-May-20
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,RNTR,Trout Lodge/Jumpers,AF3N,19.38,1288,27-May-20
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,RNTR,Trout Lodge/Jumpers,AF3N,19.91,2000,02-Jun-20
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,TGTR,Beitty/Bow River,3N,22.81,1450,15-Sep-20
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,BNTR,Bow River,3N,18.3,500,20-May-20
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,RNTR,Campbell Lake,3N,18,2000,25-May-20
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,TGTR,Beitty/Bow River,3N,16.9,700,01-Sep-20
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,TGTR,Beitty/Bow River,3N,20,300,01-Sep-20
MITCHELL POND,WASKASOO PARK POND,NW18-38-27-W4,52.269458,-113.853351,RNTR,Trout Lodge/Kamloops,AF3N,21.76,1110,05-May-20
MITCHELL POND,WASKASOO PARK POND,NW18-38-27-W4,52.269458,-113.853351,RNTR,Trout Lodge/Kamloops,AF3N,20.3,1000,18-Jun-20
MONTAGANEUSSE LAKE,STONEY LAKE,NE31-86-3-W6,56.504886,-118.461339,BKTR,Beitty Resort,3N,20.4,6000,25-May-20
MONTAGANEUSSE LAKE,STONEY LAKE,NE31-86-3-W6,56.504886,-118.461339,TGTR,Beitty/Bow River,3N,22.81,1975,14-Sep-20
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,RNTR,Trout Lodge/Kamloops,AF3N,15.58,1600,26-May-20
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,BNTR,Bow River,3N,21.62,500,26-May-20
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,TGTR,Beitty/Bow River,3N,20.39,1500,17-Sep-20
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,TGTR,Beitty/Bow River,3N,9.74,2500,17-Sep-20
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,BNTR,Bow River,3N,27.72,500,17-Sep-20
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,20.1,1600,14-May-20
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,20.6,800,19-Jun-20
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,20.5,800,15-Jul-20
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,23.1,1600,28-Jul-20
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,RNTR,Trout Lodge/Jumpers,AF3N,19.79,3000,08-May-20
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,BNTR,Bow River,3N,20.22,500,08-May-20
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,BNTR,Bow River,3N,27.7,433,18-Sep-20
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,RNTR,Trout Lodge/Kamloops,AF3N,21.02,150,18-Sep-20
NIEMELA RESERVOIR,RAY'S POND,SE1-39-3-W5,52.322935,-114.292729,RNTR,Trout Lodge/Kamloops,AF3N,21.85,1500,30-Apr-20
NIEMELA RESERVOIR,RAY'S POND,SE1-39-3-W5,52.322935,-114.292729,RNTR,Trout Lodge/Kamloops,AF3N,20.3,1500,18-Jun-20
OBED LAKE,,SW11-53-22-W5,53.566667,-117.133333,BNTR,Bow River,3N,18.65,8403,22-May-20
OBED LAKE,,SW11-53-22-W5,53.566667,-117.133333,BNTR,Bow River,3N,21.94,3735,22-May-20
OLE LAKE,,NW30-84-12-W6,56.316771,-119.894419,RNTR,Trout Lodge/Jumpers,AF2N,19.93,3000,02-Jun-20
OUTPOST LAKE,POLICE LAKE,NE6-1-26-W4,49.011823,-113.456699,RNTR,Trout Lodge/Jumpers,AF3N,19,5000,05-May-20
PARKER LAKE,,SE25-70-5-W5,55.084708,-114.621162,BKTR,Beitty Resort,3N,14.57,2700,07-Oct-20
PARKER LAKE,,SE25-70-5-W5,55.084708,-114.621162,RNTR,Trout Lodge/Jumpers,AF3N,9.51,7800,07-Oct-20
PARLBY RESERVOIR,TEES FISH POND,NE25-40-24-W4,52.471946,-113.316718,RNTR,Trout Lodge/Kamloops,AF3N,21.76,535,05-May-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,17.8,14500,30-Apr-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15,29511,30-Apr-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15,53871,01-May-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15,27618,04-May-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Campbell Lake,3N,7.2,11915,03-Jun-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Beitty Resort,3N,7.4,27000,03-Jun-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Kamloops,AF3N,11.5,11085,03-Jun-20
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15.6,24652,09-Sep-20
