Stocking Date,Waterbody ID,Water Type,Waterbody Official Name,Waterbody Common Name,District,Latitude,Longitude,Waterbody ATS,Species Code,Species Common Name,Number,Average Length,Average Weight,Genotype,Strain,Station
2020-06-03,,,UNNAMED,HERMITAGE PARK POND,,53.581702,-113.371337,NE18-53-23-W4,RNTR,,1565,20,,AF3N,Trout Lodge/Jumpers,
2021-04-23,6791,Lentic,UNNAMED,HERMITAGE PARK POND,EDMONTON,53.581702,-113.371337,NE18-53-23-W4,BNTR,BROWN TROUT,300,16.8,52.3,3N,Bow River,Cold Lake
2021-04-23,6791,Lentic,UNNAMED,HERMITAGE PARK POND,EDMONTON,53.581702,-113.371337,NE18-53-23-W4,RNTR,RAINBOW TROUT,2395,20.4,93.3,AF3N,Trout Lodge/Jumpers,Cold Lake - ACA
2022-05-02,,,Hermitage Park Pond,,,,,NE18-53-23-W4,RNTR,,2395,20.5,,AF3N,Trout Lodge/Jumpers,
2022-05-02,,,Hermitage Park Pond,,,,,NE18-53-23-W4,BNTR,,300,18.7,,3N,Bow River,
2022-06-02,,,Hermitage Park Pond,,,,,NE18-53-23-W4,RNTR,,1255,20.5,,AF3N,Trout Lodge/Kamloops,
2020-06-01,,,UNNAMED,KERBE'S POND,,52.112277,-112.844594,NE19-36-20-W4,RNTR,,500,19.4,,AF3N,Trout Lodge/Jumpers,
2020-09-28,,,UNNAMED,KERBE'S POND,,52.112277,-112.844594,NE19-36-20-W4,TGTR,,250,22.55,,3N,Beitty/Bow River,
2020-09-28,,,UNNAMED,KERBE'S POND,,52.112277,-112.844594,NE19-36-20-W4,RNTR,,250,23.22,,AF3N,Trout Lodge/Kamloops,
2021-04-21,6770,Lentic,UNNAMED,KERBE'S POND,STETTLER,52.112277,-112.844594,NE19-36-20-W4,TGTR,TIGER TROUT,1000,17.7,60.9,3N,Beitty/Bow River,Cold Lake
2021-04-21,6770,Lentic,UNNAMED,KERBE'S POND,STETTLER,52.112277,-112.844594,NE19-36-20-W4,BNTR,BROWN TROUT,250,16.8,52.3,3N,Bow River,Cold Lake
2021-04-21,6770,Lentic,UNNAMED,KERBE'S POND,STETTLER,52.112277,-112.844594,NE19-36-20-W4,RNTR,RAINBOW TROUT,1000,20.4,94.3,AF3N,Trout Lodge/Jumpers,Cold Lake
2021-04-30,6770,Lentic,UNNAMED,KERBE'S POND,STETTLER,52.112277,-112.844594,NE19-36-20-W4,RNTR,RAINBOW TROUT,50,30,410,2N,Beitty Resort,Raven
2022-04-29,,,Kerbe's Pond,,,,,NE19-36-20-W4,RNTR,,1000,21.3,,AF3N,Trout Lodge/Jumpers,
2022-04-29,,,Kerbe's Pond,,,,,NE19-36-20-W4,BNTR,,250,18.2,,3N,Bow River,
2022-04-29,,,Kerbe's Pond,,,,,NE19-36-20-W4,TGTR,,1000,17.1,,3N,Beitty/Bow River,
2020-05-11,,,STAR LAKE,,,53.510057,-114.273086,NE19-52-2-W5,RNTR,,8040,17.63,,2N,Campbell Lake,
2020-09-09,,,STAR LAKE,,,53.510057,-114.273086,NE19-52-2-W5,RNTR,,50,40,,2N,Campbell Lake,
2021-04-29,5895,Lentic,STAR LAKE,,STONY PLAIN,53.510057,-114.273086,NE19-52-2-W5,RNTR,RAINBOW TROUT,75,30,410,2N,Beitty Resort,Raven
2021-05-05,5895,Lentic,STAR LAKE,,STONY PLAIN,53.510057,-114.273086,NE19-52-2-W5,BNTR,BROWN TROUT,1000,17,54.3,3N,Bow River,Cold Lake
2021-05-05,5895,Lentic,STAR LAKE,,STONY PLAIN,53.510057,-114.273086,NE19-52-2-W5,RNTR,RAINBOW TROUT,8040,20.5,95.1,2N,Campbell Lake,Cold Lake
2021-05-18,5895,Lentic,STAR LAKE,,STONY PLAIN,53.510057,-114.273086,NE19-52-2-W5,RNTR,RAINBOW TROUT,387,42.9,874,2N,Pit Lake,Sam Livingston
2022-05-06,,,Star Lake,,,,,NE19-52-2-W5,RNTR,,8437,20.2,,2N,Campbell Lake,
2022-05-07,,,Star Lake,,,,,NE19-52-2-W5,TGTR,,1000,17.7,,3N,Beitty/Bow River,
2022-05-07,,,Star Lake,,,,,NE19-52-2-W5,BNTR,,1000,18.8,,3N,Bow River,
2020-05-28,,,UNNAMED,JARVIS CREEK POND,,53.508917,-117.810057,NE19-52-26-W5,RNTR,,700,19.9,,AF3N,Trout Lodge/Jumpers,
2021-05-26,6788,Lentic,UNNAMED,JARVIS CREEK POND,HINTON,53.508917,-117.810057,NE19-52-26-W5,RNTR,RAINBOW TROUT,700,20.4,93.4,AF3N,Trout Lodge/Jumpers,Cold Lake
2022-05-26,,,Jarvis Creek Pond,,,,,NE19-52-26-W5,RNTR,,700,21.3,,AF3N,Trout Lodge/Jumpers,
2020-06-02,,,TWO LAKES,NORTH TWO LAKE,,54.380594,-119.755438,NE20-62-12-W6,RNTR,,4500,16.5,,AF2N,Trout Lodge/Jumpers,
2021-05-27,6535,Lentic,TWO LAKES,NORTH TWO LAKE,GRANDE PRAIRIE,54.380594,-119.755438,NE20-62-12-W6,RNTR,RAINBOW TROUT,7200,14.4,32.9,AF3N,Trout Lodge/Kamloops,Cold Lake
2022-06-02,,,Two Lakes,North Two Lake,,,,NE20-62-12-W6,RNTR,,7200,13.5,,AF3N,Trout Lodge/Kamloops,
2020-05-14,,,UNNAMED,FIGURE EIGHT LAKE,,56.30153,-117.906378,NE20-84-25-W5,RNTR,,9000,19.8,,AF3N,Trout Lodge/Jumpers,
2021-05-13,6827,Lentic,UNNAMED,FIGURE EIGHT LAKE,PEACE RIVER,56.30153,-117.906378,NE20-84-25-W5,RNTR,RAINBOW TROUT,9000,21.2,104.9,AF3N,Trout Lodge/Jumpers,Cold Lake
