Lake_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
East Dollar Lake,NW8-73-21-W5,BNTR,Bow River x Beitty,3N,21.9,500,19-05-2026
East Stormwater Pond,SE29-40-26-W4,BNTR,Bow River x Beitty,3N,18.1,100,04-05-2026
East Stormwater Pond,SE29-40-26-W4,BNTR,Bow River x Beitty,2N,64,50,22-05-2026
Emerson Lake,SW5-19-28-W4,BNTR,Bow River x Beitty,3N,17.2,200,22-04-2026
Heritage Lake,NW33-55-25-W4,BNTR,Bow River x Beitty,3N,17.9,1000,05-05-2026
Hermitage Park Pond,NE18-53-23-W4,BNTR,Bow River x Beitty,3N,18.2,300,08-05-2026
Kerbe's Pond,NE19-36-20-W4,BNTR,Bow River x Beitty,3N,17.6,250,27-04-2026
Lees Lake,SW8-7-2-W5,BNTR,Bow River x Beitty,3N,16.6,1895,13-04-2026
Len Thompson Pond,NW29-40-26-W4,BNTR,Bow River x Beitty,2N,64,50,14-05-2026
Millers Lake,SW8-53-19-W5,BNTR,Bow River x Beitty,3N,20.3,2500,05-05-2026
Mitchell Lake,NE25-37-8-W5,BNTR,Bow River x Beitty,3N,18.5,500,13-05-2026
Mitford Ponds,SE4-26-4-W5,BNTR,Bow River x Beitty,3N,18.2,61,30-04-2026
Muir Lake,NW32-53-27-W4,BNTR,Bow River x Beitty,3N,18.1,500,06-05-2026
Nicholas Sheran Park Pond,SE26-8-22-W4,BNTR,Bow River x Beitty,3N,17.7,2000,20-04-2026
Nicholas Sheran Park Pond,SE26-8-22-W4,BNTR,Bow River x Beitty,2N,42.1,50,24-04-2026
Obed Lake,SW11-53-22-W5,BNTR,Bow River x Beitty,3N,19.7,7070,07-05-2026
Pit 24,NE4-47-19-W5,BNTR,Bow River x Beitty,3N,18.8,250,26-05-2026
Pleasure Island Reservoir,SW20-46-19-W4,BNTR,Bow River x Beitty,3N,18,160,01-05-2026
Spring Lake (Cottage),SW30-52-1-W5,BNTR,Bow River x Beitty,3N,19.5,500,08-05-2026
Spruce Coulee Reservoir,SW26-8-2-W4,BNTR,Bow River x Beitty,3N,20.9,1000,04-05-2026
Star Lake,NE19-52-2-W5,BNTR,Bow River x Beitty,3N,19.7,1000,07-05-2026
Telegraph Park Pond,NW32-48-21-W4,BNTR,Bow River x Beitty,3N,18,193,01-05-2026
West Dollar Lake,SE18-73-21-W5,BNTR,Bow River x Beitty,3N,21.8,500,19-05-2026
Atlantic Richfield Reservoir,NE29-67-9-W5,RNTR,Campbell Lake,2N,21.3,1800,15-06-2026
Bellis Beach Lake,SE15-59-15-W4,RNTR,Campbell Lake,2N,20.6,9835,14-05-2026
Black Nugget Mine Pit,NW11-49-18-W4,RNTR,Campbell Lake,2N,20.7,3500,04-05-2026
Black Nugget Mine Pit,NW11-49-18-W4,RNTR,Campbell Lake,2N,20.1,9000,04-05-2026
Blood Indian Creek,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,10000,28-04-2026
Cecil Thompson Pond,SW23-83-21-W5,RNTR,Campbell Lake,2N,21.5,1000,20-05-2026
Chain Lakes (Lower Chain,NW7-69-23-W4,RNTR,Campbell Lake,2N,20.1,8000,13-05-2026
Chatwin Lake,NE4-61-6-W4,RNTR,Campbell Lake,2N,20.6,10000,28-05-2026
Dillberry Lake,NE36-41-1-W4,RNTR,Campbell Lake,2N,20.1,3546,06-05-2026
Dillberry Lake,NE36-41-1-W4,RNTR,Campbell Lake,2N,20.2,9454,06-05-2026
Dolberg Lake,SE1-60-8-W5,RNTR,Campbell Lake,2N,21.1,8000,22-05-2026
East Dollar Lake,NW8-73-21-W5,RNTR,Campbell Lake,3N,20.3,3000,19-05-2026
Engstrom Lake,NW17-83-6-W4,RNTR,Campbell Lake,2N,21.7,14575,29-05-2026
Engstrom Lake,NW17-83-6-W4,RNTR,Campbell Lake,2N,21,8425,29-05-2026
Fairview College Pond,SW34-81-3-W6,RNTR,Campbell Lake,2N,22.1,500,19-05-2026
Figure Eight Lake,NE20-84-25-W5,RNTR,Campbell Lake,3N,20.8,9000,25-05-2026
Grande Cache Lake,NE1-57-8-W6,RNTR,Campbell Lake,2N,20.4,15000,03-06-2026
Highway 40 Pond,SW12-69-6-W6,RNTR,Campbell Lake,2N,21,1000,26-05-2026
Highway 63 Pond,NE35-87-9-W4,RNTR,Campbell Lake,2N,21.4,1000,22-05-2026
Highway 686 Pond,NE17-85-19-W5,RNTR,Campbell Lake,2N,21.5,500,20-05-2026
Jack Fish Lake,NW20-53-9-W4,RNTR,Campbell Lake,2N,21.5,1895,13-05-2026
Jack Fish Lake,NW20-53-9-W4,RNTR,Campbell Lake,2N,20.1,3105,13-05-2026
Kakut Lake,SW34-76-4-W6,RNTR,Campbell Lake,2N,21,1500,26-05-2026
Kramer Pond,SW25-45-6-W5,RNTR,Campbell Lake,AF3N,20.3,1500,14-05-2026
Little Bear Lake (Hasse,NW19-64-2-W4,RNTR,Campbell Lake,2N,22.1,5000,22-05-2026
Lower Kananaskis Lake,NW26-19-9-W5,WSCT,Campbell Lake,2N,15.8,5000,05-06-2026
McLeod Lake (Carson,SE25-61-12-W5,RNTR,Campbell Lake,3N,21.8,6500,28-05-2026
Mile 07 Lake,NE35-69-14-W4,RNTR,Campbell Lake,2N,21.7,11000,28-05-2026
Millers Lake,SW8-53-19-W5,RNTR,Campbell Lake,3N,20.8,14199,05-05-2026
Millers Lake,SW8-53-19-W5,RNTR,Campbell Lake,2N,48.1,80,26-05-2026
Millers Lake,SW8-53-19-W5,RNTR,Campbell Lake,2N,48.1,85,02-06-2026
Nardam Lake,NE17-78-5-W6,RNTR,Campbell Lake,2N,21,500,26-05-2026
Ole Lake,NW30-84-12-W6,RNTR,Campbell Lake,2N,20.4,3000,26-05-2026
Reesor Lake,NW20-8-1-W4,RNTR,Campbell Lake,2N,20.5,2700,04-05-2026
Reesor Lake,NW20-8-1-W4,RNTR,Campbell Lake,2N,21.5,5294,05-05-2026
Running Lake,SW34-88-7-W6,RNTR,Campbell Lake,2N,20.4,4350,26-05-2026
Schuman Lake,SE35-61-8-W5,RNTR,Campbell Lake,2N,21.9,9500,19-05-2026
Spring Lake,NE23-75-11-W6,RNTR,Campbell Lake,3N,21.7,6400,08-06-2026
Spring Lake (Cottage),SW30-52-1-W5,RNTR,Campbell Lake,2N,21.8,10000,07-05-2026
St. Paul Fish Pond,SE9-58-9-W4,RNTR,Campbell Lake,2N,21.4,1800,08-06-2026
